year,state,programme,rate_per_1000
2023-24,ACT,Transition care,4.1
2024-25,ACT,Transition care,5.4
2017-18,Aust,Transition care,6.0
2018-19,Aust,Transition care,5.7
2019-20,Aust,Transition care,5.6
2020-21,Aust,Transition care,5.3
2021-22,Aust,Transition care,4.7
2022-23,Aust,Transition care,3.6
2023-24,Aust,Transition care,3.4
2024-25,Aust,Transition care,4.9
2017-18,NSW,Transition care,5.7
2018-19,NSW,Transition care,5.6
2019-20,NSW,Transition care,5.5
2020-21,NSW,Transition care,5.3
2021-22,NSW,Transition care,4.8
2022-23,NSW,Transition care,3.8
2023-24,NSW,Transition care,3.8
2024-25,NSW,Transition care,5.2
2017-18,NT,Transition care,4.7
2018-19,NT,Transition care,4.9
2019-20,NT,Transition care,4.4
2020-21,NT,Transition care,6.0
2021-22,NT,Transition care,6.5
2022-23,NT,Transition care,5.6
2023-24,NT,Transition care,4.5
2024-25,NT,Transition care,6.6
2017-18,Qld,Transition care,5.2
2018-19,Qld,Transition care,5.1
2019-20,Qld,Transition care,5.0
2020-21,Qld,Transition care,5.1
2021-22,Qld,Transition care,4.4
2022-23,Qld,Transition care,3.1
2023-24,Qld,Transition care,2.9
2024-25,Qld,Transition care,4.3
2017-18,SA,Transition care,7.4
2018-19,SA,Transition care,7.5
2019-20,SA,Transition care,7.1
2020-21,SA,Transition care,6.9
2021-22,SA,Transition care,5.6
2022-23,SA,Transition care,3.6
2023-24,SA,Transition care,3.3
2024-25,SA,Transition care,5.3
2017-18,Tas,Transition care,5.5
2018-19,Tas,Transition care,5.2
2019-20,Tas,Transition care,5.3
2020-21,Tas,Transition care,5.2
2021-22,Tas,Transition care,4.3
2022-23,Tas,Transition care,3.6
2023-24,Tas,Transition care,3.6
2024-25,Tas,Transition care,4.3
2017-18,Vic,Transition care,6.5
2018-19,Vic,Transition care,5.8
2019-20,Vic,Transition care,5.9
2020-21,Vic,Transition care,5.0
2021-22,Vic,Transition care,4.4
2022-23,Vic,Transition care,3.3
2023-24,Vic,Transition care,3.3
2024-25,Vic,Transition care,4.8
2017-18,WA,Transition care,6.6
2018-19,WA,Transition care,5.8
2019-20,WA,Transition care,6.2
2020-21,WA,Transition care,5.8
2021-22,WA,Transition care,5.2
2022-23,WA,Transition care,4.1
2023-24,WA,Transition care,3.6
2024-25,WA,Transition care,5.6
